party,press_release,claims
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,16
Democratic,20230405-bill-protect-integrity-california-elections-foreign-money-passes-out.txt,15
Democratic,20240911-assemblywoman-pilar-schiavos-15-bill-legislative-package-advances-governors.txt,15
Democratic,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,14
Democratic,20231009-governor-newsom-signs-bill-protect-californians-and-pollinators-dangerous.txt,14
Democratic,20240417-assemblywoman-sorias-ab-2104-and-ab-3275-pass-first-policy-committees.txt,14
Democratic,senate-passes-more-dozen-climate-equity-justice-bills-senator-josh-becker.txt,14
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,13
Democratic,20220428-bill-protect-integrity-california-elections-foreign-influence-passes-out.txt,13
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,13
Democratic,20230601-addis-bills-win-approval-state-assembly.txt,12
Democratic,20230727-zbur-releases-statement-2023-2024-california-state-budget.txt,12
Democratic,fifteen-becker-bills-climate-action-social-justice-education-child.txt,12
Democratic,following-cop26-assemblymembers-rivas-calderon-ward-and-senator-cortese-commit-introduce.txt,12
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,12
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,11
Democratic,20220211-asm-wicks-introduces-bill-mandate-vaccinations-california-workplaces.txt,11
Democratic,20230906-6-bills-head-senate-floor.txt,11
Democratic,bills-senator-becker-climate-action-digital-divide-justice-reform-and-voter-equity.txt,11
Democratic,senator-cortese-bill-allowing-judicial-review-old-sentences-clears-first-committee.txt,11
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,11
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,11
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,10
Democratic,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10
Democratic,20220223-assemblymember-aguiar-curry-introduces-legislation-increase-voter.txt,10
