party,year,count
Democratic,2009,1
Democratic,2011,1
Democratic,2012,1
Democratic,2016,2
Democratic,2017,1
Democratic,2018,4
Democratic,2019,9
Democratic,2020,17
Democratic,2021,21
Democratic,2022,16
Democratic,2023,14
Democratic,2024,21
Democratic,2025,8
Republican,2001,1
Republican,2002,1
Republican,2004,1
Republican,2011,2
Republican,2012,1
Republican,2013,2
Republican,2015,1
Republican,2016,3
Republican,2017,1
Republican,2018,9
Republican,2019,8
Republican,2020,9
Republican,2021,18
Republican,2022,17
Republican,2023,29
Republican,2024,46
Republican,2025,14
